Name,state,summit_elev,vertical_drop,base_elev,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac,clusters
Stowe Mountain Resort,Vermont,4395,2360,2035,2,0,0,0,4,2,2,2,12,116,0,3.7,485,388,155,86,314,57.91695652,64.16681004,137,0,1
Stratton Mountain,Vermont,3875,2003,1872,1,0,4,1,2,1,1,1,11,99,4,3,670,474,155,58,180,57.91695652,64.16681004,160,0,1
Sugarbush,Vermont,4083,2600,1483,0,0,0,5,5,2,1,3,16,111,4,3,581,406,150,61,250,119,119,156,0,1
Suicide Six,Vermont,1200,650,550,0,0,0,0,0,0,2,1,3,24,0,0.4,100,50,100,85,90,45,75,106,0,1
Bryce Resort,Virginia,1750,500,1250,0,0,0,0,1,0,1,5,7,8,0,0.4,25,25,100,54,30,43,68,95,20,1
Massanutten,Virginia,2925,1110,1750,0,0,0,0,3,1,0,3,7,13,2,0.8,70,70,68,46,35,57.91695652,64.16681004,97,70,1
The Homestead Ski Area,Virginia,3200,700,2500,0,0,0,0,0,0,1,1,2,10,0,1,45,100,91,60,50,57.91695652,64.16681004,100,0,1
Wintergreen Resort,Virginia,3515,1003,2512,0,0,2,0,1,1,1,0,5,27,2,1,129,129,107,44,34,59,64.16681004,121,45,1
49 Degrees North,Washington,5774,1851,3932,0,0,0,0,1,0,5,1,7,89,1,2,2325,0,101,48,301,62,62,135,250,2
Alpental,Washington,5420,2280,3140,0,0,0,1,0,0,3,1,5,24,0,1.2,825,0,120,52,428,57.91695652,64.16681004,144,121,2
Bluewood,Washington,5670,1125,4545,0,0,0,0,0,2,0,1,3,24,2,2,355,0,70,40,300,42,47,110,0,2
Crystal Mountain,Washington,7012,3100,4400,1,0,2,2,1,2,2,0,10,57,1,2.5,2600,10,115.1039427,57,486,99,99,120.0530035,0,2
Mission Ridge,Washington,6820,2250,4570,0,0,0,1,0,0,3,2,6,48.21472393,3,0.8,2000,66,104,53,200,57.91695652,64.16681004,96,500,2
Mt. Baker,Washington,5000,1500,3500,0,0,0,0,8,0,0,2,10,38,0,0.7,1000,0,143,66,663,53.75,60.01,165,0,2
Mt. Spokane Ski and Snowboard Park,Washington,5889,2000,4200,0,0,0,0,0,1,5,1,7,52,3,0.6,1704,0,100,81,300,45,59,103,45,2
Stevens Pass Resort,Washington,5845,1800,4061,0,0,0,3,0,4,3,0,10,52,4,1,1125,0,116,82,460,57.91695652,64.16681004,145,450,2
The Summit at Snoqualmie,Washington,3865,1025,2840,0,0,0,3,3,4,10,7,27,112,5,0.8,1994,5,120,82,428,85,95,140,541,1
White Pass,Washington,6550,2050,4500,0,0,0,2,1,1,2,2,8,45,2,2.5,1402,30,148,67,400,69,69,144,90,2
Canaan Valley Resort,West Virginia,4280,850,3430,0,0,0,0,1,2,0,1,4,47,1,1.2,95,75,115.1039427,48,160,52,68,93,0,1
Snowshoe Mountain Resort,West Virginia,4848,1500,3348,0,0,0,3,2,6,0,3,14,60,5,1.5,257,257,125,46,180,70,87,138,86,2
Timberline Four Seasons,West Virginia,4265,1000,3268,0,0,0,0,0,2,1,1,4,40,1,2,100,100,97,37,150,72,92,115,27,1
Winterplace Ski Resort,West Virginia,3600,603,2997,0,0,0,0,2,3,2,2,9,27,2,1.2,90,90,120,36,100,56,72,120,74,1
Alpine Valley Resort,Wisconsin,1040,388,820,0,0,0,3,0,3,1,5,12,21,3,0.2,90,90,100,55,80,56,65,120,90,1
Bruce Mound,Wisconsin,1375,375,1000,0,0,0,0,0,1,0,4,5,12,2,0.5,40,30,42,71,42,33,25,42,30,1
Cascade Mountain,Wisconsin,1280,460,820,0,0,0,2,2,3,2,3,12,47,4,1.1,175,175,120,57,56,59,64,120,0,1
Christie Mountain,Wisconsin,1650,350,1300,0,0,0,0,0,0,1,5,6,30,4,0.8,45,41,92,43,48,28,38,120,35,1
Christmas Mountain,Wisconsin,1250,250,1000,0,0,0,0,1,0,0,2,3,16,0,0.4,40,40,75,50,20,57.91695652,64.16681004,70,40,1
Devils Head,Wisconsin,995,500,495,0,0,0,0,3,1,6,2,12,27,1,1,260,260,110,48,45,45,65,135,200,1
Grand Geneva,Wisconsin,1086,211,875,0,0,0,0,0,0,3,3,6,20,1,0.2,30,30,90,25,25,28,49,93,30,1
Granite Peak Ski Area,Wisconsin,1942,700,1242,0,0,1,2,0,2,0,2,7,75,4,0.6,220,160,136,82,75,92,92,135,200,1
Little Switzerland,Wisconsin,1269,200,1069,0,0,0,0,0,0,4,4,8,18,3,1,50,50,115.1039427,63.65653495,185.3164557,33,41,120.0530035,50,1
Mount La Crosse,Wisconsin,1110,516,594,0,0,0,0,0,0,3,1,4,19,1,0.4,100,100,115,60,40,56,56,100,90,1
Nordic Mountain,Wisconsin,1137,265,872,0,0,0,0,0,1,1,5,7,18,4,1,60,60,68,43,80,57.91695652,47,90,60,1
Sunburst,Wisconsin,1100,214,866,0,0,0,0,0,0,3,6,9,13,4,0.5,37,37,99,59,50,33,44,115,37,1
Trollhaugen,Wisconsin,1200,260,920,0,0,0,0,2,0,1,5,8,24,4,0.5,86,86,130,69,50,54,54,120,86,1
Tyrol Basin,Wisconsin,1160,300,860,0,0,0,0,0,3,0,2,5,18,5,0.5,32,32,112,61,41,17,48,103,32,1
Whitecap Mountain,Wisconsin,1750,400,1295,0,0,0,0,1,0,4,0,5,43,1,1,400,300,105,57,200,60,60,118,0,1
Wilmot Mountain,Wisconsin,1030,230,800,0,0,0,0,3,2,2,3,10,23,2,0.5,135,135,125,81,70,56,66,139,135,1
Grand Targhee Resort,Wyoming,9920,2270,7851,0,0,0,2,2,0,0,1,5,95,1,2.7,2602,0,152,50,500,90,90,152,0,0
Hogadon Basin,Wyoming,8000,640,7400,0,0,0,0,0,0,1,1,2,28,1,0.6,92,32,121,61,80,48,48,95,0,2
Jackson Hole,Wyoming,10450,4139,6311,3,0,0,4,4,1,2,1,15,130,6,4.5,2500,195,130,54,459,57.91695652,64.16681004,133,0,0
Meadowlark Ski Lodge,Wyoming,9500,1000,8500,0,0,0,0,0,1,1,1,3,14,1,1.5,300,0,115.1039427,9,185.3164557,57.91695652,64.16681004,120.0530035,0,0
Sleeping Giant Ski Resort,Wyoming,7428,810,6619,0,0,0,0,0,1,1,1,3,48,1,1,184,18,61,81,310,42,42,77,0,2
Snow King Resort,Wyoming,7808,1571,6237,0,0,0,0,1,1,1,0,3,32,2,1,400,250,121,80,300,59,59,123,110,2
Snowy Range Ski & Recreation Area,Wyoming,9663,990,8798,0,0,0,0,0,1,3,1,5,33,2,0.7,75,30,131,59,250,49,49,120.0530035,0,0
White Pine Ski Area,Wyoming,9500,1100,8400,0,0,0,0,0,2,0,0,2,25,0,0.4,370,0,115.1039427,81,150,57.91695652,49,120.0530035,0,0
